Ticker,first_date,last_date,rows,unique_dates,rows_with_any_na_pct,duplicate_rows
CMI,2008-01-02,2025-10-24,4483,4483,0.0,0
COF,2008-01-02,2025-10-24,4483,4483,0.0,0
COIN,2021-04-14,2025-10-24,1140,1140,0.0,0
COP,2008-01-02,2025-10-24,4483,4483,0.0,0
COR,2008-01-02,2025-10-24,4483,4483,0.0,0
COST,2008-01-02,2025-10-24,4483,4483,0.0,0
CPNG,2021-03-11,2025-10-24,1163,1163,0.0,0
CRM,2008-01-02,2025-10-24,4483,4483,0.0,0
CRWD,2019-06-12,2025-10-24,1603,1603,0.0,0
CRWV,2025-03-28,2025-10-24,146,146,0.0,0
CSCO,2008-01-02,2025-10-24,4483,4483,0.0,0
CSX,2008-01-02,2025-10-24,4483,4483,0.0,0
CTAS,2008-01-02,2025-10-24,4483,4483,0.0,0
CVS,2008-01-02,2025-10-24,4483,4483,0.0,0
CVX,2008-01-02,2025-10-24,4483,4483,0.0,0
DASH,2020-12-09,2025-10-24,1225,1225,0.0,0
DDOG,2019-09-19,2025-10-24,1534,1534,0.0,0
DE,2008-01-02,2025-10-24,4483,4483,0.0,0
DELL,2016-08-17,2025-10-24,2311,2311,0.0,0
DHR,2008-01-02,2025-10-24,4483,4483,0.0,0
DIS,2008-01-02,2025-10-24,4483,4483,0.0,0
DLR,2008-01-02,2025-10-24,4483,4483,0.0,0
DUK,2008-01-02,2025-10-24,4483,4483,0.0,0
ECL,2008-01-02,2025-10-24,4483,4483,0.0,0
ELV,2008-01-02,2025-10-24,4483,4483,0.0,0
EMR,2008-01-02,2025-10-24,4483,4483,0.0,0
EOG,2008-01-02,2025-10-24,4483,4483,0.0,0
EPD,2008-01-02,2025-10-24,4483,4483,0.0,0
EQIX,2008-01-02,2025-10-24,4483,4483,0.0,0
ET,2008-01-02,2025-10-24,4483,4483,0.0,0
F,2008-01-02,2025-10-24,4483,4483,0.0,0
FCX,2008-01-02,2025-10-24,4483,4483,0.0,0
FDX,2008-01-02,2025-10-24,4483,4483,0.0,0
FI,2008-01-02,2025-10-24,4483,4483,0.0,0
FTNT,2009-11-18,2025-10-24,4008,4008,0.0,0
GBTC,2015-05-11,2025-10-24,2632,2632,0.0,0
GD,2008-01-02,2025-10-24,4483,4483,0.0,0
GE,2008-01-02,2025-10-24,4483,4483,0.0,0
GEV,2024-03-27,2025-10-24,397,397,0.0,0
GILD,2008-01-02,2025-10-24,4483,4483,0.0,0
GLW,2008-01-02,2025-10-24,4483,4483,0.0,0
GM,2010-11-18,2025-10-24,3756,3756,0.0,0
GOOG,2008-01-02,2025-10-24,4483,4483,0.0,0
GS,2008-01-02,2025-10-24,4483,4483,0.0,0
HCA,2011-03-10,2025-10-24,3680,3680,0.0,0
HD,2008-01-02,2025-10-24,4483,4483,0.0,0
HLT,2013-12-12,2025-10-24,2985,2985,0.0,0
HON,2008-01-02,2025-10-24,4483,4483,0.0,0
HOOD,2021-07-29,2025-10-24,1066,1066,0.0,0
HWM,2016-11-01,2025-10-24,2258,2258,0.0,0
IBKR,2008-01-02,2025-10-24,4483,4483,0.0,0
IBM,2008-01-02,2025-10-24,4483,4483,0.0,0
ICE,2008-01-02,2025-10-24,4483,4483,0.0,0
INTC,2008-01-02,2025-10-24,4483,4483,0.0,0
INTU,2008-01-02,2025-10-24,4483,4483,0.0,0
ISRG,2008-01-02,2025-10-24,4483,4483,0.0,0
ITW,2008-01-02,2025-10-24,4483,4483,0.0,0
JNJ,2008-01-02,2025-10-24,4483,4483,0.0,0
JPM,2008-01-02,2025-10-24,4483,4483,0.0,0
KKR,2010-07-15,2025-10-24,3845,3845,0.0,0
KLAC,2008-01-02,2025-10-24,4483,4483,0.0,0
KMI,2011-02-11,2025-10-24,3698,3698,0.0,0
KO,2008-01-02,2025-10-24,4483,4483,0.0,0
LHX,2008-01-02,2025-10-24,4483,4483,0.0,0
LLY,2008-01-02,2025-10-24,4483,4483,0.0,0
LMT,2008-01-02,2025-10-24,4483,4483,0.0,0
LOW,2008-01-02,2025-10-24,4483,4483,0.0,0
LRCX,2008-01-02,2025-10-24,4483,4483,0.0,0
MA,2008-01-02,2025-10-24,4483,4483,0.0,0
MAR,2008-01-02,2025-10-24,4483,4483,0.0,0
MCD,2008-01-02,2025-10-24,4483,4483,0.0,0
MCK,2008-01-02,2025-10-24,4483,4483,0.0,0
MCO,2008-01-02,2025-10-24,4483,4483,0.0,0
MDLZ,2008-01-02,2025-10-24,4483,4483,0.0,0
META,2012-05-18,2025-10-24,3379,3379,0.0,0
MMC,2008-01-02,2025-10-24,4483,4483,0.0,0
MMM,2008-01-02,2025-10-24,4483,4483,0.0,0
MNST,2008-01-02,2025-10-24,4483,4483,0.0,0
MO,2008-01-02,2025-10-24,4483,4483,0.0,0
MPC,2011-06-24,2025-10-24,3606,3606,0.0,0
MRK,2008-01-02,2025-10-24,4483,4483,0.0,0
MRVL,2008-01-02,2025-10-24,4483,4483,0.0,0
MS,2008-01-02,2025-10-24,4483,4483,0.0,0
MSFT,2008-01-02,2025-10-24,4483,4483,0.0,0
MSI,2008-01-02,2025-10-24,4483,4483,0.0,0
MSTR,2008-01-02,2025-10-24,4483,4483,0.0,0
MU,2008-01-02,2025-10-24,4483,4483,0.0,0
NEE,2008-01-02,2025-10-24,4483,4483,0.0,0
NEM,2008-01-02,2025-10-24,4483,4483,0.0,0
NET,2019-09-13,2025-10-24,1538,1538,0.0,0
NFLX,2008-01-02,2025-10-24,4483,4483,0.0,0
NKE,2008-01-02,2025-10-24,4483,4483,0.0,0
NOC,2008-01-02,2025-10-24,4483,4483,0.0,0
NOW,2012-06-29,2025-10-24,3350,3350,0.0,0
NSC,2008-01-02,2025-10-24,4483,4483,0.0,0
NVDA,2008-01-02,2025-10-24,4483,4483,0.0,0
O,2008-01-02,2025-10-24,4483,4483,0.0,0
ORCL,2008-01-02,2025-10-24,4483,4483,0.0,0
ORLY,2008-01-02,2025-10-24,4483,4483,0.0,0
PANW,2012-07-20,2025-10-24,3336,3336,0.0,0
PEP,2008-01-02,2025-10-24,4483,4483,0.0,0
PFE,2008-01-02,2025-10-24,4483,4483,0.0,0
PG,2008-01-02,2025-10-24,4483,4483,0.0,0
PGR,2008-01-02,2025-10-24,4483,4483,0.0,0
PH,2008-01-02,2025-10-24,4483,4483,0.0,0
PLD,2008-01-02,2025-10-24,4483,4483,0.0,0
PLTR,2020-09-30,2025-10-24,1274,1274,0.0,0
PM,2008-03-17,2025-10-24,4432,4432,0.0,0
PNC,2008-01-02,2025-10-24,4483,4483,0.0,0
PWR,2008-01-02,2025-10-24,4483,4483,0.0,0
PYPL,2015-07-06,2025-10-24,2594,2594,0.0,0
QCOM,2008-01-02,2025-10-24,4483,4483,0.0,0
RBLX,2021-03-10,2025-10-24,1164,1164,0.0,0
RCL,2008-01-02,2025-10-24,4483,4483,0.0,0
REGN,2008-01-02,2025-10-24,4483,4483,0.0,0
RSG,2008-01-02,2025-10-24,4483,4483,0.0,0
RTX,2008-01-02,2025-10-24,4483,4483,0.0,0
SBUX,2008-01-02,2025-10-24,4483,4483,0.0,0
SCCO,2008-01-02,2025-10-24,4483,4483,0.0,0
SCHW,2008-01-02,2025-10-24,4483,4483,0.0,0
SHW,2008-01-02,2025-10-24,4483,4483,0.0,0
SNOW,2020-09-16,2025-10-24,1284,1284,0.0,0
SNPS,2008-01-02,2025-10-24,4483,4483,0.0,0
SO,2008-01-02,2025-10-24,4483,4483,0.0,0
SPG,2008-01-02,2025-10-24,4483,4483,0.0,0
SPGI,2008-01-02,2025-10-24,4483,4483,0.0,0
SRE,2008-01-02,2025-10-24,4483,4483,0.0,0
SYK,2008-01-02,2025-10-24,4483,4483,0.0,0
T,2008-01-02,2025-10-24,4483,4483,0.0,0
TDG,2008-01-02,2025-10-24,4483,4483,0.0,0
TFC,2008-01-02,2025-10-24,4483,4483,0.0,0
TJX,2008-01-02,2025-10-24,4483,4483,0.0,0
TMO,2008-01-02,2025-10-24,4483,4483,0.0,0
TMUS,2008-01-02,2025-10-24,4483,4483,0.0,0
TRV,2008-01-02,2025-10-24,4483,4483,0.0,0
TSLA,2010-06-29,2025-10-24,3856,3856,0.0,0
TXN,2008-01-02,2025-10-24,4483,4483,0.0,0
UBER,2019-05-10,2025-10-24,1625,1625,0.0,0
UNH,2008-01-02,2025-10-24,4483,4483,0.0,0
UNP,2008-01-02,2025-10-24,4483,4483,0.0,0
UPS,2008-01-02,2025-10-24,4483,4483,0.0,0
URI,2008-01-02,2025-10-24,4483,4483,0.0,0
USB,2008-01-02,2025-10-24,4483,4483,0.0,0
V,2008-03-19,2025-10-24,4430,4430,0.0,0
VRT,2018-08-02,2025-10-24,1818,1818,0.0,0
VRTX,2008-01-02,2025-10-24,4483,4483,0.0,0
VST,2016-10-05,2025-10-24,2277,2277,0.0,0
VZ,2008-01-02,2025-10-24,4483,4483,0.0,0
WDAY,2012-10-12,2025-10-24,3277,3277,0.0,0
WELL,2008-01-02,2025-10-24,4483,4483,0.0,0
WFC,2008-01-02,2025-10-24,4483,4483,0.0,0
WM,2008-01-02,2025-10-24,4483,4483,0.0,0
WMB,2008-01-02,2025-10-24,4483,4483,0.0,0
WMT,2008-01-02,2025-10-24,4483,4483,0.0,0
XOM,2008-01-02,2025-10-24,4483,4483,0.0,0
ZTS,2013-02-01,2025-10-24,3203,3203,0.0,0
